for NO_TESTS is 0 cond_prob_loop is 0 actual oracle response for each test:
actual_loop_count:1, actual_oracle_response:0 0 
actual_loop_count:2, actual_oracle_response:0 0 
actual_loop_count:3, actual_oracle_response:-1 0 
actual_loop_count:4, actual_oracle_response:0 -1 0 
actual_loop_count:5, actual_oracle_response:-1 0 
actual_loop_count:6, actual_oracle_response:0 0 
actual_loop_count:7, actual_oracle_response:0 0 
actual_loop_count:8, actual_oracle_response:-1 -1 
actual_loop_count:9, actual_oracle_response:-1 0 
actual_loop_count:10, actual_oracle_response:0 0 
actual_loop_count:11, actual_oracle_response:0 0 
actual_loop_count:12, actual_oracle_response:0 0 
actual_loop_count:13, actual_oracle_response:-1 0 
actual_loop_count:14, actual_oracle_response:0 0 
actual_loop_count:15, actual_oracle_response:0 0 
actual_loop_count:16, actual_oracle_response:0 -1 0 
actual_loop_count:17, actual_oracle_response:0 0 
actual_loop_count:18, actual_oracle_response:0 0 
actual_loop_count:19, actual_oracle_response:-1 0 
actual_loop_count:20, actual_oracle_response:0 0 
actual_loop_count:21, actual_oracle_response:0 0 
actual_loop_count:22, actual_oracle_response:0 0 
actual_loop_count:23, actual_oracle_response:0 0 
actual_loop_count:24, actual_oracle_response:-1 0 
actual_loop_count:25, actual_oracle_response:-1 0 
actual_loop_count:26, actual_oracle_response:0 0 
actual_loop_count:27, actual_oracle_response:-1 0 
actual_loop_count:28, actual_oracle_response:-1 0 
actual_loop_count:29, actual_oracle_response:0 0 
actual_loop_count:30, actual_oracle_response:0 -1 -1 
actual_loop_count:31, actual_oracle_response:0 -1 0 
actual_loop_count:32, actual_oracle_response:0 -1 0 
actual_loop_count:33, actual_oracle_response:0 -1 0 
actual_loop_count:34, actual_oracle_response:-1 0 
actual_loop_count:35, actual_oracle_response:0 0 
actual_loop_count:36, actual_oracle_response:0 0 
actual_loop_count:37, actual_oracle_response:0 0 
actual_loop_count:38, actual_oracle_response:0 0 
actual_loop_count:39, actual_oracle_response:0 -1 0 
actual_loop_count:40, actual_oracle_response:0 0 
actual_loop_count:41, actual_oracle_response:0 -1 0 
actual_loop_count:42, actual_oracle_response:-1 0 
actual_loop_count:43, actual_oracle_response:-1 -1 
actual_loop_count:44, actual_oracle_response:0 0 
actual_loop_count:45, actual_oracle_response:0 0 
actual_loop_count:46, actual_oracle_response:0 0 
actual_loop_count:47, actual_oracle_response:-1 0 
actual_loop_count:48, actual_oracle_response:-1 0 
actual_loop_count:49, actual_oracle_response:-1 0 
actual_loop_count:50, actual_oracle_response:-1 0 
actual_loop_count:51, actual_oracle_response:0 -1 0 
actual_loop_count:52, actual_oracle_response:0 0 
actual_loop_count:53, actual_oracle_response:0 0 
actual_loop_count:54, actual_oracle_response:0 0 
actual_loop_count:55, actual_oracle_response:0 0 
actual_loop_count:56, actual_oracle_response:-1 0 
actual_loop_count:57, actual_oracle_response:-1 0 
actual_loop_count:58, actual_oracle_response:0 -1 -1 
actual_loop_count:59, actual_oracle_response:0 -1 -1 
actual_loop_count:60, actual_oracle_response:0 -1 -1 
actual_loop_count:61, actual_oracle_response:0 -1 0 
actual_loop_count:62, actual_oracle_response:0 0 
actual_loop_count:63, actual_oracle_response:0 0 
actual_loop_count:64, actual_oracle_response:-1 -1 
actual_loop_count:65, actual_oracle_response:0 0 
actual_loop_count:66, actual_oracle_response:0 0 
actual_loop_count:67, actual_oracle_response:0 -1 0 
actual_loop_count:68, actual_oracle_response:0 0 
actual_loop_count:69, actual_oracle_response:0 0 
actual_loop_count:70, actual_oracle_response:0 -1 0 
actual_loop_count:71, actual_oracle_response:0 -1 0 
actual_loop_count:72, actual_oracle_response:0 -1 0 
actual_loop_count:73, actual_oracle_response:0 -1 0 
actual_loop_count:74, actual_oracle_response:0 -1 0 
actual_loop_count:75, actual_oracle_response:0 0 
actual_loop_count:76, actual_oracle_response:0 0 
actual_loop_count:77, actual_oracle_response:-1 0 
actual_loop_count:78, actual_oracle_response:0 0 
actual_loop_count:79, actual_oracle_response:0 0 
actual_loop_count:80, actual_oracle_response:0 0 
actual_loop_count:81, actual_oracle_response:0 0 
actual_loop_count:82, actual_oracle_response:-1 0 
actual_loop_count:83, actual_oracle_response:-1 0 
actual_loop_count:84, actual_oracle_response:-1 -1 
actual_loop_count:85, actual_oracle_response:0 0 
actual_loop_count:86, actual_oracle_response:0 -1 0 
actual_loop_count:87, actual_oracle_response:0 -1 -1 
actual_loop_count:88, actual_oracle_response:-1 0 
actual_loop_count:89, actual_oracle_response:-1 0 
actual_loop_count:90, actual_oracle_response:0 0 
actual_loop_count:91, actual_oracle_response:-1 0 
actual_loop_count:92, actual_oracle_response:-1 -1 
actual_loop_count:93, actual_oracle_response:-1 -1 
actual_loop_count:94, actual_oracle_response:-1 0 
actual_loop_count:95, actual_oracle_response:0 -1 0 
actual_loop_count:96, actual_oracle_response:0 -1 0 
actual_loop_count:97, actual_oracle_response:0 0 
actual_loop_count:98, actual_oracle_response:-1 0 
actual_loop_count:99, actual_oracle_response:0 -1 -1 
actual_loop_count:100, actual_oracle_response:0 -1 0 
actual_loop_count:101, actual_oracle_response:0 -1 0 
actual_loop_count:102, actual_oracle_response:0 0 
actual_loop_count:103, actual_oracle_response:-1 0 
actual_loop_count:104, actual_oracle_response:0 0 
actual_loop_count:105, actual_oracle_response:0 0 
actual_loop_count:106, actual_oracle_response:0 -1 -1 
actual_loop_count:107, actual_oracle_response:0 -1 0 
actual_loop_count:108, actual_oracle_response:0 -1 0 
actual_loop_count:109, actual_oracle_response:0 -1 0 
actual_loop_count:110, actual_oracle_response:0 -1 0 
actual_loop_count:111, actual_oracle_response:0 -1 0 
actual_loop_count:112, actual_oracle_response:-1 0 
actual_loop_count:113, actual_oracle_response:0 -1 0 
actual_loop_count:114, actual_oracle_response:0 0 
actual_loop_count:115, actual_oracle_response:0 0 
actual_loop_count:116, actual_oracle_response:-1 0 
actual_loop_count:117, actual_oracle_response:0 0 
actual_loop_count:118, actual_oracle_response:0 0 
actual_loop_count:119, actual_oracle_response:0 0 
actual_loop_count:120, actual_oracle_response:0 0 
actual_loop_count:121, actual_oracle_response:0 -1 -1 
actual_loop_count:122, actual_oracle_response:0 -1 -1 
actual_loop_count:123, actual_oracle_response:0 0 
actual_loop_count:124, actual_oracle_response:0 0 
actual_loop_count:125, actual_oracle_response:0 0 
actual_loop_count:126, actual_oracle_response:0 -1 -1 
actual_loop_count:127, actual_oracle_response:0 -1 0 
actual_loop_count:128, actual_oracle_response:-1 0 
actual_loop_count:129, actual_oracle_response:0 -1 0 
actual_loop_count:130, actual_oracle_response:-1 0 
actual_loop_count:131, actual_oracle_response:0 -1 0 
actual_loop_count:132, actual_oracle_response:0 0 
actual_loop_count:133, actual_oracle_response:-1 0 
actual_loop_count:134, actual_oracle_response:-1 0 
actual_loop_count:135, actual_oracle_response:-1 -1 
actual_loop_count:136, actual_oracle_response:0 -1 0 
actual_loop_count:137, actual_oracle_response:0 0 
actual_loop_count:138, actual_oracle_response:-1 0 
actual_loop_count:139, actual_oracle_response:-1 0 
actual_loop_count:140, actual_oracle_response:0 0 
actual_loop_count:141, actual_oracle_response:0 0 
actual_loop_count:142, actual_oracle_response:0 0 
actual_loop_count:143, actual_oracle_response:0 0 
actual_loop_count:144, actual_oracle_response:-1 0 
actual_loop_count:145, actual_oracle_response:0 0 
actual_loop_count:146, actual_oracle_response:0 0 
actual_loop_count:147, actual_oracle_response:0 -1 0 
actual_loop_count:148, actual_oracle_response:0 -1 0 
actual_loop_count:149, actual_oracle_response:-1 0 
actual_loop_count:150, actual_oracle_response:0 0 
actual_loop_count:151, actual_oracle_response:0 -1 0 
actual_loop_count:152, actual_oracle_response:0 0 
actual_loop_count:153, actual_oracle_response:0 -1 0 
actual_loop_count:154, actual_oracle_response:0 -1 0 
actual_loop_count:155, actual_oracle_response:0 0 
actual_loop_count:156, actual_oracle_response:0 -1 0 
actual_loop_count:157, actual_oracle_response:0 -1 0 
actual_loop_count:158, actual_oracle_response:-1 0 
actual_loop_count:159, actual_oracle_response:-1 -1 
actual_loop_count:160, actual_oracle_response:-1 -1 
actual_loop_count:161, actual_oracle_response:-1 -1 
actual_loop_count:162, actual_oracle_response:0 0 
actual_loop_count:163, actual_oracle_response:0 -1 0 
actual_loop_count:164, actual_oracle_response:-1 0 
actual_loop_count:165, actual_oracle_response:0 -1 0 
actual_loop_count:166, actual_oracle_response:0 -1 0 
actual_loop_count:167, actual_oracle_response:0 0 
actual_loop_count:168, actual_oracle_response:0 0 
actual_loop_count:169, actual_oracle_response:0 0 
actual_loop_count:170, actual_oracle_response:0 0 
actual_loop_count:171, actual_oracle_response:0 0 
actual_loop_count:172, actual_oracle_response:0 -1 0 
actual_loop_count:173, actual_oracle_response:0 -1 -1 
actual_loop_count:174, actual_oracle_response:0 0 
actual_loop_count:175, actual_oracle_response:0 0 
actual_loop_count:176, actual_oracle_response:0 0 
actual_loop_count:177, actual_oracle_response:0 0 
actual_loop_count:178, actual_oracle_response:0 -1 0 
actual_loop_count:179, actual_oracle_response:0 0 
actual_loop_count:180, actual_oracle_response:0 -1 0 
actual_loop_count:181, actual_oracle_response:-1 0 
actual_loop_count:182, actual_oracle_response:-1 -1 
actual_loop_count:183, actual_oracle_response:-1 0 
actual_loop_count:184, actual_oracle_response:-1 -1 
actual_loop_count:185, actual_oracle_response:0 0 
actual_loop_count:186, actual_oracle_response:-1 0 
actual_loop_count:187, actual_oracle_response:-1 0 
actual_loop_count:188, actual_oracle_response:0 0 
actual_loop_count:189, actual_oracle_response:0 -1 -1 
actual_loop_count:190, actual_oracle_response:0 -1 -1 
actual_loop_count:191, actual_oracle_response:0 -1 -1 
actual_loop_count:192, actual_oracle_response:0 0 
actual_loop_count:193, actual_oracle_response:0 -1 0 
actual_loop_count:194, actual_oracle_response:0 0 
actual_loop_count:195, actual_oracle_response:0 -1 -1 
actual_loop_count:196, actual_oracle_response:0 0 
actual_loop_count:197, actual_oracle_response:-1 0 
actual_loop_count:198, actual_oracle_response:0 0 
actual_loop_count:199, actual_oracle_response:0 0 
actual_loop_count:200, actual_oracle_response:0 0 
actual_loop_count:201, actual_oracle_response:0 0 
actual_loop_count:202, actual_oracle_response:0 0 
actual_loop_count:203, actual_oracle_response:-1 -1 
